experiment_num,dataset,method,lookback,hidden_size,num_layers,dropout,learning_rate,best_epoch,training_time_sec,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
3,PIGS,LSTM,10,128,2,0.1,0.001,139,3.3023769855499268,0.01305585553559473,0.11426222269671954,0.5411633034962502,0.008562888788433632,0.0925358783847305,0.46667662276415667,0.013720769375081767,0.11713568787983347,-0.37788645213409566
4,PIGS,LSTM,10,128,2,0.1,0.001,149,3.478215217590332,0.01297954518275721,0.11392780688996523,0.543845164528608,0.007788637309446936,0.08825325665065814,0.5148994157730761,0.0131457804921019,0.11465505000697483,-0.320144107639587
5,PIGS,LSTM,10,128,2,0.1,0.001,154,3.5563769340515137,0.013795980841923683,0.11745629332617169,0.5151522428170825,0.00952713958691698,0.09760706730005252,0.4066200805089152,0.015449626427162575,0.12429652620714135,-0.5515041731683754
6,PIGS,LSTM,10,128,2,0.1,0.001,105,2.644510269165039,0.013240034307648951,0.11506534798821473,0.5346905006144262,0.00798828137490694,0.08937718598673232,0.5024649617159307,0.013094923366655862,0.11443305189784926,-0.31503686166591405
7,PIGS,LSTM,10,128,2,0.1,0.001,153,3.523263931274414,0.013394534670983175,0.1157347599944942,0.5292607196148101,0.008734864906945226,0.09346049917984188,0.4559654145966041,0.014549568443661856,0.12062159194630892,-0.46111728102710403
8,PIGS,LSTM,10,128,2,0.1,0.001,145,3.4472639560699463,0.012989627091517105,0.11397204521950594,0.5434908446070041,0.008179575034904124,0.09044100306224011,0.4905505969128622,0.01322525735875091,0.11500111894564727,-0.328125445625824
9,PIGS,LSTM,10,128,2,0.1,0.001,45,1.45444917678833,0.014549381172286664,0.12062081566747368,0.4886746429550036,0.011701984771007111,0.10817571248208681,0.27116395031710505,0.01703225998416205,0.1305077008615279,-0.7104376321654133
10,PIGS,LSTM,10,128,2,0.1,0.001,148,3.519105911254883,0.013216622063357726,0.11496356841781541,0.5355133035934448,0.007382898867674347,0.08592379686486362,0.5401700693325215,0.012764138212676697,0.11297848561861987,-0.2818182884375986
11,PIGS,LSTM,10,128,2,0.1,0.001,175,3.8577351570129395,0.012963726482317884,0.11385836149496392,0.5444010990081811,0.008021208057000644,0.08956119727315309,0.5004141854266129,0.013203962377383756,0.11490849567105017,-0.32598693097536
12,PIGS,LSTM,10,128,2,0.1,0.001,176,3.8839120864868164,0.012982037529125879,0.11393874463555353,0.5437575731814744,0.007926911952801378,0.08903320702300563,0.5062872404194168,0.013351040827872994,0.11554670409783653,-0.34075705055029015
13,PIGS,LSTM,10,128,2,0.1,0.001,168,3.876677989959717,0.013013643475930288,0.11407735741999939,0.542646809648432,0.00871836485492289,0.09337218458900322,0.45699308921512827,0.013766199251463123,0.11732944750344272,-0.38244867524832404
14,PIGS,LSTM,10,128,2,0.1,0.001,152,3.5378758907318115,0.013242140267521409,0.11507449877154108,0.5346164884849098,0.009072176344875402,0.0952479729174086,0.4349566079074182,0.01435503681188503,0.11981250690927484,-0.44158175115925147
15,PIGS,LSTM,10,128,2,0.1,0.001,168,3.8220417499542236,0.012966071804069437,0.11386866032438178,0.5443186747134432,0.00796108355325713,0.08922490433313521,0.5041589267380302,0.013226064675273295,0.11500462892976654,-0.328206519104167
1,POLLUTION,LSTM,10,128,2,0.1,0.001,28,0.7851378917694092,0.00156594994815754,0.03957208546636808,0.779349712142919,0.0538485145833222,0.23205282713925768,-0.249276298231206,0.037753232484510645,0.19430191065584157,-2.6753177804774038
2,POLLUTION,LSTM,10,128,2,0.1,0.001,22,0.7050542831420898,0.001545173810738655,0.039308698919433276,0.7822771752508102,0.048307669738756685,0.21979005832556822,-0.12072964861505953,0.03234718276824021,0.17985322562645412,-2.1490330271783225
3,POLLUTION,LSTM,10,128,2,0.1,0.001,30,0.8017940521240234,0.0015413812522572913,0.03926042857964354,0.7828115659710324,0.051945763129531676,0.2279161317887167,-0.2051327910047005,0.03429079516689817,0.18517773939353016,-2.338245784260109
