experiment_num,dataset,method,lookback,best_epoch,training_time_sec,peak_memory_mb,peak_python_memory_mb,gpu_memory_mb,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
12,B1H,ARIMA_SVR,10,1,0.0011289999820291996,0.0,0.141282,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
13,B1H,ARIMA_SVR,10,1,0.0011599999852478504,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
14,B1H,ARIMA_SVR,10,1,0.0011724999640136957,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
15,B1H,ARIMA_SVR,10,1,0.001132874982431531,0.0,0.141236,0.0,1.2992069369622644e+27,36044513271263.14,-3.340687959901079e+28,0.0014567859303445604,0.03816786515309129,0.9419329192247854,0.0019408709524106633,0.04405531695959823,0.9372096723224776
1,CARSALES,ARIMA_MLP,10,90,9.185700041998643,114.753536,70.24362,0.0,0.004854204393678544,0.06967212063428631,0.8682374199874963,0.017583108875542677,0.13260131551211202,0.4480404800639126,0.01621194663518887,0.12732614277982693,0.42621807616272456
2,CARSALES,ARIMA_MLP,10,10,0.08095308399060741,0.049152,0.061341,0.0,0.012148919036877119,0.11022213496787803,0.6702296016322303,0.021332415039935368,0.14605620507166195,0.330344272570701,0.023419827669383782,0.15303538044969792,0.17111287876380743
3,CARSALES,ARIMA_MLP,10,115,0.2899333750247024,0.016384,0.057698,0.0,0.0024327201542471604,0.0493226130111449,0.9339662160931148,0.01755380131328071,0.13249075935053248,0.4489604873340213,0.01923087602026842,0.13867543409078775,0.31937050569638825
4,CARSALES,ARIMA_MLP,10,6,0.07484174997080117,0.0,0.051625,0.0,0.012232116944087242,0.11059890118842611,0.6679712766799637,0.020566123986453688,0.14340893970200633,0.3543992701826072,0.02114334962389224,0.14540752946079594,0.25168321259899784
5,CARSALES,ARIMA_MLP,10,72,0.19621399999596179,0.0,0.05858,0.0,0.0036010021837617617,0.06000835095019494,0.902254355218127,0.018024187609278215,0.13425419028573451,0.43419437310694986,0.019323997932848967,0.1390107835128231,0.316074684944308
6,CARSALES,ARIMA_MLP,10,60,0.17538416699972004,0.0,0.054361,0.0,0.007945024348088255,0.08913486606310829,0.7843401675196139,0.02108188052095801,0.1451960072486775,0.33820891777087425,0.020044344788346304,0.1415780519301855,0.29057978208790114
7,CARSALES,ARIMA_MLP,10,8,0.08066958299605176,0.0,0.051873,0.0,0.01205084336398085,0.10977633335095889,0.6728917688277657,0.021821018784431774,0.1477193920392031,0.3150062859745799,0.024061060257328716,0.15511627979463896,0.14841803056219838
8,CARSALES,ARIMA_MLP,10,90,0.2612731669796631,0.0,0.054912,0.0,0.003887401330634966,0.06234902830545931,0.8944803334743092,0.0172053916420002,0.13116932431784575,0.459897576802231,0.017730273162499165,0.13315507186171754,0.3724806481130719
9,CARSALES,ARIMA_MLP,10,134,0.32600854098564014,0.0,0.055939,0.0,0.002238522783670277,0.047313029745201025,0.9392375117584099,0.013943487198117794,0.1180825440025654,0.5622935309913706,0.021306648540327683,0.14596797093995548,0.24590364962970612
10,CARSALES,ARIMA_MLP,10,53,0.17032304202439263,0.0,0.054044,0.0,0.007180827070307104,0.08473976085821286,0.8050835472359903,0.01839707192620945,0.13563580620989965,0.42248898869388163,0.018172048918043165,0.13480374222566363,0.3568450832654487
11,CARSALES,ARIMA_MLP,10,9,0.08543866698164493,0.0,0.05309,0.0,0.01227318420433043,0.1107844041565889,0.6668565464945734,0.02073917369868958,0.1440110193654971,0.34896698646265256,0.02298718051996023,0.151615238416065,0.18642535908002877
12,CARSALES,ARIMA_MLP,10,116,0.2960757919936441,0.0,0.058045,0.0,0.0029236965905774575,0.05407121776488354,0.9206391460462764,0.017838031078477458,0.13355909208465538,0.4400380990430769,0.01839312249271538,0.13562124646498194,0.34902072855719446
13,CARSALES,ARIMA_MLP,10,68,0.19809216598514467,0.0,0.054009,0.0,0.006419037239920612,0.08011889440026373,0.8257615791725372,0.020899917347673137,0.14456803708867716,0.3439210080777294,0.022229946057516634,0.14909710278042507,0.2132258079362872
14,CARSALES,ARIMA_MLP,10,58,0.17320933402515948,0.0,0.05489,0.0,0.006627966010849912,0.08141232100149161,0.8200904142062792,0.019039920637361374,0.13798521890898813,0.402309026861734,0.01843786732528438,0.13578610873459915,0.3474370954074596
15,CARSALES,ARIMA_MLP,10,1,0.06023008294869214,0.0,0.049417,0.0,0.012397502673163465,0.1113440733634416,0.6634820445436509,0.020928488648490493,0.144666819445547,0.34302411313186276,0.0228031180723633,0.15100701332177688,0.1929397960976741
1,Electricity,ARIMA_MLP,10,44,0.5502149169915356,0.08192,0.081666,0.0,360356763478705.5,18983065.17606431,-2.0961288003700532e+16,0.00376915722562405,0.06139346240133431,0.7764394148374241,0.005674868430115161,0.0753317226015386,0.6226021580697068
2,Electricity,ARIMA_MLP,10,56,0.6341500830021687,0.0,0.076048,0.0,789213877327151.4,28092950.669645783,-4.590711499202698e+16,0.0039039984888964234,0.06248198531494036,0.768441554860585,0.005955202740310652,0.0771699600901196,0.6039589833442182
3,Electricity,ARIMA_MLP,10,199,1.4951998330070637,0.0,0.072579,0.0,0.0007876541367709192,0.028065176585422,0.9541836122381063,0.0035962896371125003,0.05996907233826867,0.786692735919536,0.0054198074040868295,0.07361934123643615,0.6395645743739848
4,Electricity,ARIMA_MLP,10,9,0.27756391698494554,0.0,0.070624,0.0,5477490567218419.0,74010070.71485893,-3.186155192666532e+17,0.0040549629604019555,0.06367859106797162,0.7594873766270283,0.0060959734865238865,0.07807671539277178,0.5945972551416996
5,Electricity,ARIMA_MLP,10,197,1.4163974999682978,0.0,0.071097,0.0,0.0005162783083440526,0.02272175847825279,0.9699690434368592,0.0028374597405681165,0.05326781148656397,0.8317013268472417,0.004127009419921681,0.0642418043015736,0.7255399895371977
6,Electricity,ARIMA_MLP,10,196,1.3873532500001602,0.016384,0.072282,0.0,0.0008771981132014845,0.029617530504778493,0.9489750043550783,0.0038622905397374865,0.062147329304946694,0.7709153846749831,0.005854415732782995,0.07651415380688069,0.6106616584113084
7,Electricity,ARIMA_MLP,10,66,0.6915474999696016,0.0,0.070931,0.0,1611962050834281.5,40149247.20133967,-9.376485811558746e+16,0.003967365585127194,0.06298702711771047,0.7646830528227564,0.005927099456642458,0.07698765782021465,0.6058279462528994
8,Electricity,ARIMA_MLP,10,198,1.4382088750135154,0.0,0.07118,0.0,0.0008155658077526773,0.028558112818473796,0.9525600418395235,0.0036846000575418863,0.060700906562767956,0.7814547667701122,0.00558142360115539,0.07470892584661748,0.6288165535615591
9,Electricity,ARIMA_MLP,10,65,0.6841764170094393,0.0,0.072175,0.0,403533480813758.56,20088142.791551404,-2.3472797981694596e+16,0.003881605186575744,0.06230252953593252,0.7697697721438809,0.005795647940270885,0.07612915302478339,0.6145699143193009
10,Electricity,ARIMA_MLP,10,51,0.6039225840358995,0.0,0.070525,0.0,82779924646555.12,9098347.357985137,-4815155471734627.0,0.0038828886428443326,0.06231282887852495,0.7696936463106347,0.005868880582659209,0.07660861950628799,0.6096996972320572
11,Electricity,ARIMA_MLP,10,194,1.4441396659822203,0.0,0.071834,0.0,0.0006373026856412949,0.02524485463696107,0.9629292787228387,0.00309756194448143,0.05565574493690144,0.8162738459998997,0.004809851381235639,0.06935309208128819,0.6801287019006828
12,Electricity,ARIMA_MLP,10,200,1.4323721249820665,0.0,0.072577,0.0,0.0007123903404972208,0.026690641440347978,0.958561568391101,0.00353309892082735,0.05943987652096318,0.790440776307321,0.0055906547938577005,0.0747706813788513,0.6282026481913823
13,Electricity,ARIMA_MLP,10,200,1.4815979169798084,0.0,0.071975,0.0,0.0006634220077854167,0.025756979787727768,0.9614099659489113,0.003205657675414933,0.05661852766908491,0.8098623477751025,0.004895455871360931,0.06996753440961695,0.6744357153177019
14,Electricity,ARIMA_MLP,10,48,0.5570262499968521,0.0,0.070668,0.0,1082098039844862.4,32895258.622556265,-6.2943646297812104e+16,0.003862537797800927,0.062149318562643364,0.7709007190205569,0.005913653519793966,0.07690028296302924,0.6067221462879915
15,Electricity,ARIMA_MLP,10,194,1.4429743340006098,0.0,0.07184,0.0,0.0007250830020255312,0.026927365300480684,0.9578232596904122,0.0035483599737154673,0.05956811205431533,0.7895355951992817,0.0054291470655723675,0.07368274605070285,0.6389434554648139
1,GAS,ARIMA_MLP,10,173,0.585806249990128,0.0,0.063208,0.0,0.0004403018637394787,0.020983371124285027,0.9762901263880793,0.00448772143912343,0.06699045782141984,0.8132546309207814,0.0037863828477209416,0.061533591214237945,-0.6031463150699894
